ID_BUERGERORT_NEW,ID_PERSON_NEW,ID_PERSON,ORT,DATUM_VON_TAG,DATUM_VON_MONAT,DATUM_VON_JAHR,DATUM_BIS_TAG,DATUM_BIS_MONAT,DATUM_BIS_JAHR
1343_BUERGERORT_1,1343,Schmocker_Albert_1923__,,,,,,,
1345_BUERGERORT_1,1345,Wiesendanger_Hermann_1902__,,,,,,,
1358_BUERGERORT_1,1358,Deller_Walter_1904__,,,,,,,
1361_BUERGERORT_1,1361,Frei_Karl_1913__,,,,,,,
1365_BUERGERORT_1,1365,Schalcher_Hans_1889__,,,,,,,
1366_BUERGERORT_1,1366,Flückiger_Robert_1897__,,,,,,,
1370_BUERGERORT_1,1370,Meier_Jakob_1893__,,,,,,,
1372_BUERGERORT_1,1372,Hermann_Luciano_1913__,,,,,,,
1376_BUERGERORT_1,1376,Wiesendanger_Karl_1904__,,,,,,,
1381_BUERGERORT_1,1381,Gubler_Otto_1894__,,,,,,,
1402_BUERGERORT_1,1402,Bachofner_Albert_1890__,,,,,,,
1438_BUERGERORT_1,1438,Kräuchi_Walter_1913__,,,,,,,
1440_BUERGERORT_1,1440,Müller_Otto_1899__,,,,,,,
1443_BUERGERORT_1,1443,Wegmann_Gottfried_1873__,,,,,,,
1453_BUERGERORT_1,1453,Bertschinger_Walter_1907__,,,,,,,
1469_BUERGERORT_1,1469,Baltensperger_Hans_1924__,,,,,,,
1472_BUERGERORT_1,1472,Pavesi_Hermann_1931__,,,,,,,
1473_BUERGERORT_1,1473,Kupper_Adolf_1918__,,,,,,,
1479_BUERGERORT_1,1479,Lüssi_Walter_1906__,,,,,,,
1480_BUERGERORT_1,1480,Trachsler_Edwin_1921__,,,,,,,
1481_BUERGERORT_1,1481,Elsener_Otto_1928__,,,,,,,
1485_BUERGERORT_1,1485,Mörgeli_Benjamin_1890__,,,,,,,
1487_BUERGERORT_1,1487,Peter_Theodor_1910__,,,,,,,
1489_BUERGERORT_1,1489,Truninger_Max_1906__,,,,,,,
1490_BUERGERORT_1,1490,Schneider_Albert_1911__,,,,,,,
1491_BUERGERORT_1,1491,Bernhard_Johann_1890__,,,,,,,
1503_BUERGERORT_1,1503,Jagmetti_Riccardo_1896__,,,,,,,
1511_BUERGERORT_1,1511,Fauser_Walter_1902__,,,,,,,
1522_BUERGERORT_1,1522,Anderegg_Walter_1912__,,,,,,,
1568_BUERGERORT_1,1568,Bernet_Friedrich_1898_05_29,St. Gallen,29,5,1898,,,
1570_BUERGERORT_1,1570,Billeter_Alfred_1896_08_23,Zürich,23,8,1896,30,8,1989
1574_BUERGERORT_1,1574,Schmid_Robert_1906__,,,,,,,
1601_BUERGERORT_1,1601,Grünenfelder_Max_1935__,,,,,,,
1612_BUERGERORT_1,1612,Matthias_Robert_1917__,,,,,,,
1617_BUERGERORT_1,1617,Bolli_Rudolf_1936__,,,,,,,
1656_BUERGERORT_1,1656,Stopper_Paul_1946__,,,,,,,
1657_BUERGERORT_1,1657,Kuster_Jean-Pierre_1947__,,,,,,,
1659_BUERGERORT_1,1659,Sägesser_Rolf_1943__,,,,,,,
1661_BUERGERORT_1,1661,Schaffner_Hans_Beat_1943__,,,,,,,
1663_BUERGERORT_1,1663,Furter_Margrit_1942__,,,,,,,
1676_BUERGERORT_1,1676,Kurz_Adolf_1926__,,,,,,,
1680_BUERGERORT_1,1680,Zeier_Hans_1937__,,,,,,,
1685_BUERGERORT_1,1685,Schuler_Eduard_1912__,,,,,,,
1702_BUERGERORT_1,1702,Walther_Gustav_1917__,,,,,,,
1707_BUERGERORT_1,1707,Schaufelberger_Jakob_1904__,,,,,,,
1713_BUERGERORT_1,1713,Messikommer_Alfred_1888__,,,,,,,
1746_BUERGERORT_1,1746,Merz_Jakob_1891__,,,,,,,
1750_BUERGERORT_1,1750,Buff_Ernst_1893__,,,,,,,
1797_BUERGERORT_1,1797,Huber_Fridolin_1903__,Herrliberg,,,,,,
1797_BUERGERORT_2,1797,Huber_Fridolin_1903__,Oberwangen,,,,,,
1813_BUERGERORT_1,1813,Grossmann_Hans-Peter_1923__,,,,,,,
1821_BUERGERORT_1,1821,Langhard_Konrad_1897__,,,,,,,
1825_BUERGERORT_1,1825,Diriwächter_Jakob_1893__,,,,,,,
1826_BUERGERORT_1,1826,Rubli_Ernst_1890__,,,,,,,
1845_BUERGERORT_1,1845,Werner_Markus_1962__,,,,,,,
1850_BUERGERORT_1,1850,Züblin_Georg_1941__,,,,,,,
1851_BUERGERORT_1,1851,Kaltenrieder_Urs_Daniel_1947__,,,,,,,
1881_BUERGERORT_1,1881,Weber_Karl_1932__,,,,,,,
1893_BUERGERORT_1,1893,Kunz_Helen_1942__,,,,,,,
1909_BUERGERORT_1,1909,Hürlimann_Karl_1910__,,,,,,,
1918_BUERGERORT_1,1918,Mona_Marco_1942__,,,,,,,
1924_BUERGERORT_1,1924,Winkelmann_Josef_1942__,,,,,,,
1935_BUERGERORT_1,1935,Hafner_Franz_1925__,,,,,,,
1937_BUERGERORT_1,1937,Jezler_Jost_1908__,,,,,,,
1953_BUERGERORT_1,1953,Günthart_Gottfried_1907__,,,,,,,
1958_BUERGERORT_1,1958,Hürlimann_Albert_1902__,,,,,,,
1961_BUERGERORT_1,1961,Eberle_Hans_1935__,,,,,,,
1962_BUERGERORT_1,1962,Gugerli_Karl_1910__,,,,,,,
1964_BUERGERORT_1,1964,Szabel_Erhard_1927__,,,,,,,
1978_BUERGERORT_1,1978,Kessler_Emil_1924__,,,,,,,
1980_BUERGERORT_1,1980,Meier_Emil_1909__,,,,,,,
1981_BUERGERORT_1,1981,Egli_Jules_1914__,,,,,,,
1984_BUERGERORT_1,1984,Gyr_Ernst_1917__,,,,,,,
1987_BUERGERORT_1,1987,Cueni_Josef_1918__,,,,,,,
1992_BUERGERORT_1,1992,Langner_Paul_1912__,,,,,,,
1994_BUERGERORT_1,1994,Bührer_Max_1907__,,,,,,,
2000_BUERGERORT_1,2000,Kunz_Ernst_1903__,,,,,,,
2003_BUERGERORT_1,2003,Hürlimann_Fritz_1886__,,,,,,,
2005_BUERGERORT_1,2005,Peter_Werner_1901__,,,,,,,
2015_BUERGERORT_1,2015,Meier_Emil_1893__,,,,,,,
2016_BUERGERORT_1,2016,Moos_Albert_1899__,,,,,,,
2025_BUERGERORT_1,2025,Hirzel_Karl_1882__,,,,,,,
2046_BUERGERORT_1,2046,Schneider_Heinrich_1918__,,,,,,,
2052_BUERGERORT_1,2052,Mantel_Hans_1908__,,,,,,,
2058_BUERGERORT_1,2058,Fehr_Otto_1886__,,,,,,,
2061_BUERGERORT_1,2061,Meier_Walter_1942__,,,,,,,
2106_BUERGERORT_1,2106,Günthard_Alois_1880__,,,,,,,
2140_BUERGERORT_1,2140,Hess_Alfred_1876__,,,,,,,
2146_BUERGERORT_1,2146,Andreae_Karl_1874_08_23,,,,,,,
2162_BUERGERORT_1,2162,Locher_Hans_1896__,,,,,,,
2196_BUERGERORT_1,2196,Schäfer_Eugen_1887__,,,,,,,
2206_BUERGERORT_1,2206,Meier_Josef_1879__,,,,,,,
2212_BUERGERORT_1,2212,Gysler_Paul_1893_12_06,Obfelden,6,12,1893,24,10,1966
2218_BUERGERORT_1,2218,Schurter_Otto_1890__,,,,,,,
2223_BUERGERORT_1,2223,Held-Fürst_Gottfried_1863__,,,,,,,
2232_BUERGERORT_1,2232,Peter_Albert_1885__,,,,,,,
2242_BUERGERORT_1,2242,Rebsamen_Wilhelm_1885__,,,,,,,
2243_BUERGERORT_1,2243,Kägi_Karl_1892__,,,,,,,
2244_BUERGERORT_1,2244,Oertli_Konrad_1892__,,,,,,,
2263_BUERGERORT_1,2263,Pelizzoni_Josef_1876__,,,,,,,
2273_BUERGERORT_1,2273,Leuenberger_Hermann_1901_07_15,Basel,,,,,,
2273_BUERGERORT_2,2273,Leuenberger_Hermann_1901_07_15,Ursenbach,,,,,,
2277_BUERGERORT_1,2277,Appenzeller_Hans_1912__,,,,,,,
