ID_BINDUNG_NEW,ID_PERSON_NEW,ID_PERSON,BINDUNGSKATEGORIE,INSTITUTION,DATUM_VON_TAG,DATUM_VON_MONAT,DATUM_VON_JAHR,DATUM_BIS_TAG,DATUM_BIS_MONAT,DATUM_BIS_JAHR
9584_BINDUNG_2,9584,Cornaz_Jean-Luc_1959_07_01,,Cornaz Holding AG,,,,,,
9584_BINDUNG_1,9584,Cornaz_Jean-Luc_1959_07_01,,Citecs AG,,,,,,
9590_BINDUNG_1,9590,Schüepp_Jacques_1858__,,,,,,,,
9597_BINDUNG_1,9597,Dändliker_Gustav_1886__,,,,,,,,
9601_BINDUNG_1,9601,Fischer_Eduard_1859__,,,,,,,,
9606_BINDUNG_1,9606,Gross_Arnold_1859__,,,,,,,,
9612_BINDUNG_1,9612,Streuli_Gottlieb_1880__,,,,,,,,
9624_BINDUNG_1,9624,Sutter_Jakob_1866__,,,,,,,,
9630_BINDUNG_1,9630,Meier_Albert_1869__,,,,,,,,
9646_BINDUNG_1,9646,Hafner-Tobler_Emil_1846__,,,,,,,,
9675_BINDUNG_1,9675,Bruppacher_Hermann_1838__,,,,,,,,
9678_BINDUNG_1,9678,Kern_Jakob_1856__,,,,,,,,
9697_BINDUNG_1,9697,Zuppinger-Spitzer_Johann_Friedrich_1848__,,,,,,,,
9708_BINDUNG_1,9708,Huber_Eduard_1845__,,,,,,,,
9710_BINDUNG_1,9710,Funk_Rudolf_1842__,,,,,,,,
9731_BINDUNG_1,9731,Hiestand_August_1844__,,,,,,,,
9742_BINDUNG_1,9742,Brändli_Jakob_1854__,,,,,,,,
9760_BINDUNG_1,9760,Hotz_Johannes_1855__,,,,,,,,
9762_BINDUNG_1,9762,Huber_Karl_1848__,,,,,,,,
9771_BINDUNG_1,9771,Walder_Robert_1843__,,,,,,,,
9803_BINDUNG_1,9803,Hotz_Robert_1849__,,,,,,,,
9809_BINDUNG_1,9809,Heusser_Lukas_1842__,,,,,,,,
9825_BINDUNG_1,9825,Schaufelberger_Jakob_1860__,,,,,,,,
9826_BINDUNG_1,9826,Kunz-Brunner_Friedrich_1852__,,,,,,,,
9834_BINDUNG_1,9834,Brunner_Emanuel_1836__,,,,,,,,
9868_BINDUNG_1,9868,Bachofen-Braschler_Rudolf_1866__,,,,,,,,
9870_BINDUNG_1,9870,Moos_Robert_1857__,,,,,,,,
9873_BINDUNG_1,9873,Winkler_Edwin_1860__,,,,,,,,
9876_BINDUNG_1,9876,Greuter_Jakob_1856__,,,,,,,,
9879_BINDUNG_1,9879,Weber_Heinrich_1849__,,,,,,,,
9905_BINDUNG_1,9905,Dändliker_Heinrich_1851__,,,,,,,,
